,x
X211692_s_at,-0.003069237
X201612_at,-0.003075171
X201876_at,-0.003126401
X210496_at,-0.003521263
X214885_at,-0.00361696
X215013_s_at,-0.003749116
X220647_s_at,-0.003759164
X203867_s_at,-0.003992203
X214249_at,-0.00399899
X203463_s_at,-0.00412103
X218317_x_at,-0.004197943
X204758_s_at,-0.004222214
X47550_at,-0.00424266
X220421_at,-0.004345079
X206294_at,-0.004409348
X202679_at,-0.004724193
X214262_at,-0.004859911
X216552_x_at,-0.004879857
X203779_s_at,-0.004958831
X211421_s_at,-0.004983018
X216618_at,-0.004994119
X211122_s_at,-0.005289982
X213274_s_at,-0.005385014
X215442_s_at,-0.005445023
X207107_at,-0.005561638
X216456_at,-0.005712125
X222129_at,-0.005736196
X215043_s_at,-0.005744963
X215826_x_at,-0.005786831
X220997_s_at,-0.005947773
X208396_s_at,-0.005951252
X217974_at,-0.005986785
X218158_s_at,-0.005998855
X203088_at,-0.006064772
X205262_at,-0.006174854
X222027_at,-0.006217498
X209925_at,-0.006226362
X212671_s_at,-0.006315915
X215414_at,-0.006503655
X201700_at,-0.007085726
X210137_s_at,-0.007402519
X215736_at,-0.007488456
X221201_s_at,-0.007594934
X205453_at,-0.007636949
X217295_at,-0.007705983
X208205_at,-0.007896117
X214724_at,-0.007997718
X222178_s_at,-0.008077313
X208151_x_at,-0.008247943
X209920_at,-0.00855114
X209723_at,-0.008559983
X202747_s_at,-0.008572427
X218966_at,-0.008757871
X214541_s_at,-0.008812141
X221541_at,-0.008910192
X206999_at,-0.009089606
X206642_at,-0.009122575
X206800_at,-0.009346549
X208029_s_at,-0.009407317
X218998_at,-0.009423816
X209788_s_at,-0.009499658
X211586_s_at,-0.009576784
X204083_s_at,-0.009737134
X219453_at,-0.009791265
X201777_s_at,-0.009807651
X220617_s_at,-0.009926124
X208886_at,-0.010100765
X211674_x_at,-0.011008039
X209875_s_at,-0.011048073
X218774_at,-0.011311287
X213895_at,-0.011361656
X213757_at,-0.011381199
X209227_at,-0.011525017
X205229_s_at,-0.011574147
X211341_at,-0.011710807
X201719_s_at,-0.011774027
X219990_at,-0.011928494
X207300_s_at,-0.012331246
X215358_x_at,-0.012535933
X216923_at,-0.012560856
X204141_at,-0.012689954
X212611_at,-0.012693562
X206540_at,-0.012890877
X210505_at,-0.012983429
X209789_at,-0.013233091
X205039_s_at,-0.013532139
X220381_at,-0.014343683
X202273_at,-0.014594265
X206104_at,-0.014830672
X211538_s_at,-0.015106147
X210366_at,-0.015571556
X214144_at,-0.016265493
X204948_s_at,-0.016274654
X203952_at,-0.018734198
X213392_at,-0.020077645
X209396_s_at,-0.020532731
X210410_s_at,-0.024193128
X205197_s_at,-0.024896274
X205469_s_at,-0.037197866
