NAME	RATIO	NOM_pval	ADJ_pval	NEG_LOG10_FDR	INTERSECT
HALLMARK_MITOTIC_SPINDLE	0.025	0.437827599565855	0.84197615301126	0.0747002086930844	EZR,NEK2,NF1,PDLIM5,ARHGEF12
HALLMARK_ESTROGEN_RESPONSE_LATE	0.025	0.437827599565855	0.84197615301126	0.0747002086930844	CA2,PLA2G16,ST14,TPD52L1,SLC7A5
HALLMARK_MYC_TARGETS_V1	0.025	0.437827599565855	0.84197615301126	0.0747002086930844	EIF4H,MCM4,PA2G4,UBE2L3,BUB3
HALLMARK_MYC_TARGETS_V2	0.0344827586206897	0.359168540624916	0.84197615301126	0.0747002086930844	MCM4,PA2G4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.025	0.437827599565855	0.84197615301126	0.0747002086930844	FSTL1,BGN,FSTL3,ELN,TGM2
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.025	0.437827599565855	0.84197615301126	0.0747002086930844	BAX,COX15,SDHD,IDH3B,NDUFB7
HALLMARK_TGF_BETA_SIGNALING	0.037037037037037	0.32736918144214	0.81842295360535	0.0870221988409216	CDKN1C,SMAD3
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0344827586206897	0.29133072017365	0.766659789930658	0.115397314191499	ACVR1B,LTB,CD36
HALLMARK_HYPOXIA	0.03	0.264654247405298	0.735150687236939	0.133623632442339	CDKN1C,PGM1,BGN,GRHPR,NR3C1,TGM2
HALLMARK_ADIPOGENESIS	0.03	0.264654247405298	0.735150687236939	0.133623632442339	ELOVL6,PGM1,ADIPOR2,CRAT,NDUFB7,CD36
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.03	0.264654247405298	0.735150687236939	0.133623632442339	B4GALT1,IGF1R,PLA2G16,TPD52L1,SLC7A5,TGM2
HALLMARK_APICAL_JUNCTION	0.03	0.264654247405298	0.735150687236939	0.133623632442339	B4GALT1,BAIAP2,JUP,CRAT,NF1,SORBS3
HALLMARK_APICAL_SURFACE	0.0454545454545455	0.246631838501775	0.735150687236939	0.133623632442339	B4GALT1,ADIPOR2
HALLMARK_IL2_STAT5_SIGNALING	0.03	0.264654247405298	0.735150687236939	0.133623632442339	CA2,CDKN1C,IGF1R,COCH,LTB,TGM2
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.035	0.141019379192062	0.587580746633592	0.230932443255813	B4GALT1,CCL4,TUBB2A,BCL2A1,PDLIM5,PLEK,SMAD3
HALLMARK_MYOGENESIS	0.035	0.141019379192062	0.587580746633592	0.230932443255813	MYOM2,CRAT,IGF1,MYH11,SORBS3,TPD52L1,CD36
HALLMARK_MTORC1_SIGNALING	0.035	0.141019379192062	0.587580746633592	0.230932443255813	ELOVL6,PGM1,FADS2,ADIPOR2,DDX39A,MCM4,SLC7A5
HALLMARK_ANDROGEN_RESPONSE	0.0495049504950495	0.0667803024931663	0.371001680517591	0.430624123166994	B4GALT1,MAK,NKX3-1,PA2G4,PDLIM5
HALLMARK_COMPLEMENT	0.04	0.0666039976620566	0.371001680517591	0.430624123166994	CA2,CTSB,F7,HNF4A,PLEK,CASP1,CD36,PCLO
HALLMARK_FATTY_ACID_METABOLISM	0.0443037974683544	0.0540128589554558	0.371001680517591	0.430624123166994	CA2,SDHD,ADIPOR2,CRAT,GRHPR,IDH3B,CD36
HALLMARK_G2M_CHECKPOINT	0.045	0.0280619496044325	0.233849580036938	0.631063405690497	SMC2,ATRX,DDX39A,E2F2,NEK2,SFPQ,SMAD3,BUB3,SLC7A5
HALLMARK_XENOBIOTIC_METABOLISM	0.045	0.0280619496044325	0.233849580036938	0.631063405690497	CA2,JUP,TMEM176B,ESR1,HNF4A,IGF1,MARCH6,PDLIM5,CD36
HALLMARK_UV_RESPONSE_DN	0.0555555555555556	0.0121261037765844	0.151576297207305	0.819368706335195	IGF1R,SYNJ2,ATRX,ERBB2,NR3C1,PDLIM5,SMAD3,CELF2
HALLMARK_ALLOGRAFT_REJECTION	0.05	0.0106146224837128	0.151576297207305	0.819368706335195	CCL4,CD8A,CD8B,HLA-DOB,CD40,IL16,LTB,RPS19,CD74,UBE2D1
HALLMARK_P53_PATHWAY	0.055	0.00362633193787182	0.0906582984467955	1.04259243641457	ACVR1B,BAIAP2,BAX,GM2A,HIST1H1C,ST14,HIST3H2A,PRMT2,RRAD,TPD52L1,CASP1
HALLMARK_HEME_METABOLISM	0.06	0.00112509324465492	0.056254662232746	1.24984147858463	ACP5,CA2,CTSB,GYPB,RHD,E2F2,GYPA,GYPE,NR3C1,ARHGEF12,SPTB,TRIM58
