original.symbol,symbol,gene_id
GNPDA2,GNPDA2,132789
ADM,ADM,133
STXBP5,STXBP5,134957
NCOA7,NCOA7,135112
HINT3,HINT3,135114
ADHFE1,ADHFE1,137872
BRI3BP,BRI3BP,140707
CRYGS,CRYGS,1427
UBQLNL,UBQLNL,143630
LOC144383,DSPA2D,144383
TICAM1,TICAM1,148022
MOBKL2C,MOB3C,148932
CTLA4,CTLA4,1493
PYHIN1,PYHIN1,149628
CTSK,CTSK,1513
GPBAR1,GPBAR1,151306
ASPRV1,ASPRV1,151516
DTX3L,DTX3L,151636
CTSZ,CTSZ,1522
PPM1K,PPM1K,152926
LOC153684,LOC153684,153684
SAMD3,SAMD3,154075
C6orf165,CFAP206,154313
GIMAP8,GIMAP8,155038
ATP6V0E2,ATP6V0E2,155066
PRAGMIN,PRAG1,157285
C9orf66,C9orf66,157983
LOC158345,RPL4P5,158345
KIAA1958,KIAA1958,158405
DGKA,DGKA,1606
TMEM229B,TMEM229B,161145
ITPRIPL2,ITPRIPL2,162073
GBP6,GBP6,163351
DFFA,DFFA,1676
DFFB,DFFB,1677
CLYBL,CLYBL,171425
DUSP3,DUSP3,1845
DUSP5,DUSP5,1847
TOR1A,TOR1A,1861
EBI2,GPR183,1880
ECGF1,TYMP,1890
TYMP,TYMP,1890
ECGF1,S1PR1,1901
EDG1,S1PR1,1901
S1PR1,S1PR1,1901
EEF1A1,EEF1A1,1915
EFNA1,EFNA1,1942
MLKL,MLKL,197259
EIF4A2,EIF4A2,1974
EIF4B,EIF4B,1975
SERPINB1,SERPINB1,1992
TTC21A,TTC21A,199223
ELF1,ELF1,1997
ELF4,ELF4,2000
APOBEC3F,APOBEC3F,200316
OSTalpha,SLC51A,200931
ARHGAP27,ARHGAP27,201176
C9orf91,TMEM268,203197
EPAS1,EPAS1,2034
STOM,STOM,2040
ERN1,ERN1,2081
ETS1,ETS1,2113
ETV6,ETV6,2120
EXT1,EXT1,2131
ACSL4,ACSL4,2182
PTK2B,PTK2B,2185
SAMD9L,SAMD9L,219285
PATL1,PATL1,219988
FCGR1A,FCGR1A,2209
ZNF438,ZNF438,220929
FCGR1B,FCGR1B,2210
SPATA13,SPATA13,221178
FCGR2B,FCGR2B,2213
RSPH9,RSPH9,221421
FGD2,FGD2,221472
FCN1,FCN1,2219
TFEC,TFEC,22797
ATF5,ATF5,22809
CPEB3,CPEB3,22849
MSRB2,MSRB2,22921
FOXC1,FOXC1,2296
NT5C2,NT5C2,22978
WDFY3,WDFY3,23001
SAMD4A,SAMD4A,23034
FTSJD2,CMTR1,23070
KIAA0082,CMTR1,23070
DCUN1D4,DCUN1D4,23142
ZC3H3,ZC3H3,23144
METAP1,METAP1,23173
PASK,PASK,23178
RGL1,RGL1,23179
DIP2A,DIP2A,23181
TMEM194A,NEMP1,23306
FKBP15,FKBP15,23307
ZCCHC11,ZCCHC11,23318
FNBP4,FNBP4,23360
SRGAP2,SRGAP2,23380
TDRD7,TDRD7,23424
CBX7,CBX7,23492
MACF1,MACF1,23499
ZFYVE26,ZFYVE26,23503
TMEM131,TMEM131,23505
RPL13A,RPL13A,23521
DDX58,DDX58,23586
KLHDC2,KLHDC2,23588
ACOT9,ACOT9,23597
C9orf5,TMEM245,23731
APOL2,APOL2,23780
IFIT5,IFIT5,24138
CNPY4,CNPY4,245812
IL27,IL27,246778
FYB,FYB,2533
IFI6,IFI6,2537
RALGAPA1,RALGAPA1,253959
UBN2,UBN2,254048
LOC255620,UNC93B6,255620
LOC255783,INAFM1,255783
LYSMD2,LYSMD2,256586
FRMD3,FRMD3,257019
GCET2,GCSAM,257144
CBY1,CBY1,25776
RASGRP3,RASGRP3,25780
ABTB2,ABTB2,25841
ABHD14A,ABHD14A,25864
PRKD2,PRKD2,25865
AHCTF1,AHCTF1,25909
ZDHHC5,ZDHHC5,25921
NOL11,NOL11,25926
ZZZ3,ZZZ3,26009
SPATS2L,SPATS2L,26010
ZNF337,ZNF337,26152
PTPN22,PTPN22,26191
PITPNC1,PITPNC1,26207
GAS6,GAS6,2621
KLHL3,KLHL3,26249
FBXO6,FBXO6,26270
SACS,SACS,26278
GBA,GBA,2629
GBP1,GBP1,2633
GBP2,GBP2,2634
GBP3,GBP3,2635
GCH1,GCH1,2643
FER1L3,MYOF,26509
MYOF,MYOF,26509
TIMM10,TIMM10,26519
PABPC1,PABPC1,26986
CYFIP2,CYFIP2,26999
DAPP1,DAPP1,27071
LAMP3,LAMP3,27074
BRPF3,BRPF3,27154
DISC1,DISC1,27185
SESN1,SESN1,27244
TOR1B,TOR1B,27348
GLS,GLS,2744
AMT,AMT,275
GM2A,GM2A,2760
GNS,GNS,2799
PGM2L1,PGM2L1,283209
RPL13L,RPL13P5,283345
EXOC3L,EXOC3L1,283849
FLJ39639,LINC00921,283876
TSEN54,TSEN54,283989
SLC26A11,SLC26A11,284129
LGALS9B,LGALS9B,284194
LOC284393,RPL10P16,284393
ZFP82,ZFP82,284406
SLC25A42,SLC25A42,284439
LOC285296,UNC93B3,285296
PRRT3,PRRT3,285368
LOC285900,RPL6P20,285900
NSMCE2,NSMCE2,286053
FFAR2,FFAR2,2867
GPX7,GPX7,2882
GRB2,GRB2,2885
GRN,GRN,2896
C11orf67,AAMDC,28971
BTBD15,ZBTB44,29068
CLEC2D,CLEC2D,29121
CD274,CD274,29126
USP25,USP25,29761
EEF2K,EEF2K,29904
SERTAD1,SERTAD1,29950
H2AFZ,H2AFZ,3015
ANXA5,ANXA5,308
HIF1A,HIF1A,3091
HLA-A,HLA-A,3105
HMGB1,HMGB1,3146
EIF4E3,EIF4E3,317649
ACACB,ACACB,32
HSPA1B,HSPA1B,3304
LOC339192,LOC339192,339192
IFITM4P,IFITM4P,340198
LOC340260,UNCX,340260
IDH2,IDH2,3418
IFI16,IFI16,3428
IFI35,IFI35,3430
SP110,SP110,3431
IFIT2,IFIT2,3433
IFIT1,IFIT1,3434
IFIT3,IFIT3,3437
FAM159A,FAM159A,348378
GATS,GATS,352954
TBC1D26,TBC1D26,353149
SPATA12,SPATA12,353324
IL1B,IL1B,3553
IL1RN,IL1RN,3557
IL7R,IL7R,3575
IL8,CXCL8,3576
IL8RBP,CXCR2P1,3580
INDO,IDO1,3620
IDO1,IDO1,3620
CXCL10,CXCL10,3627
INPP5A,INPP5A,3632
IRF1,IRF1,3659
IRF2,IRF2,3660
IRF7,IRF7,3665
ISG20,ISG20,3669
ITK,ITK,3702
ITPK1,ITPK1,3705
USP41,USP41,373856
TBC1D10C,TBC1D10C,374403
KCND1,KCND1,3750
RBM43,RBM43,375287
TMEM110,TMEM110,375346
KLRB1,KLRB1,3820
KIF22,KIF22,3835
KPNB1,KPNB1,3837
TNPO1,TNPO1,3842
C6orf190,THEMIS,387357
LOC387867,RPSAP12,387867
LOC388122,RPSAP55,388122
LOC388282,LOC388282,388282
C17orf87,SCIMP,388325
LOC388339,RPS18P12,388339
LOC388524,RPSAP58,388524
LOC388707,RPSAP18,388707
LOC389141,RPSAP29,389141
LOC389223,EEF1A1P35,389223
LOC389386,LAP3P2,389386
LOC389404,RPL9P18,389404
LOC389672,RPSAP47,389672
HNRPA1P4,HNRNPA1P4,389674
LOC390578,RPLP0P10,390578
LOC391769,H3.Y,391769
RPSA,RPSA,3921
LCK,LCK,3932
LDHB,LDHB,3945
LDLR,LDLR,3949
LGALS3BP,LGALS3BP,3959
LGALS8,LGALS8,3964
LGALS9,LGALS9,3965
FAM102A,FAM102A,399665
LOC399804,NPM1P25,399804
LOC400027,LINC00938,400027
LMNB1,LMNB1,4001
LMO2,LMO2,4005
FLJ44674,FLJ44674,400535
SIGLEC16,SIGLEC16,400709
LOC400759,GBP1P1,400759
LOC401537,RPSAP49,401537
LOC402694,RPL15P11,402694
LY6E,LY6E,4061
LY9,LY9,4063
LYN,LYN,4067
SH2D1A,SH2D1A,4068
MIR21,MIR21,406991
ARSB,ARSB,411
MAL,MAL,4118
CTGLF3,AGAP6,414189
C10orf21,CCNYL2,414194
MDK,MDK,4192
MEF2A,MEF2A,4205
MEF2D,MEF2D,4209
MEFV,MEFV,4210
MAP3K4,MAP3K4,4216
MAP3K5,MAP3K5,4217
RAB8A,RAB8A,4218
MICB,MICB,4277
AFF1,AFF1,4299
ASCL2,ASCL2,430
NR3C2,NR3C2,4306
MOV10,MOV10,4343
CARD17,CARD17,440068
LOC440093,H3F3C,440093
GOLGA8B,GOLGA8B,440270
LOC440595,EEF1A1P11,440595
ODF3B,ODF3B,440836
LOC441013,RPS2P21,441013
EEF1AL7,EEF1A1P9,441032
FAM26F,FAM26F,441168
LOC441246,RPL35P5,441246
MST1,MST1,4485
MT1A,MT1A,4489
MT1E,MT1E,4493
MT1G,MT1G,4495
MT2A,MT2A,4502
MUC1,MUC1,4582
MX1,MX1,4599
MX2,MX2,4600
MYD88,MYD88,4615
GADD45B,GADD45B,4616
ATF3,ATF3,467
NAP1L1,NAP1L1,4673
ATM,ATM,472
RERE,RERE,473
ATOX1,ATOX1,475
NELL2,NELL2,4753
NFIL3,NFIL3,4783
NIT1,NIT1,4817
NKTR,NKTR,4820
ATP1B3,ATP1B3,483
NME3,NME3,4832
NSF,NSF,4905
NUCB1,NUCB1,4924
OAS1,OAS1,4938
OAS2,OAS2,4939
OAS3,OAS3,4940
ORC5L,ORC5,5001
OSM,OSM,5008
P2RX7,P2RX7,5027
WDR42A,DCAF8,50717
AK3,AK3,50808
C6orf48,C6orf48,50854
LAP3,LAP3,51056
TXNDC12,TXNDC12,51060
PCM1,PCM1,5108
SIDT2,SIDT2,51092
PHF11,PHF11,51131
LEF1,LEF1,51176
PLEKHO1,PLEKHO1,51177
HERC5,HERC5,51191
SHISA5,SHISA5,51246
NT5C3,NT5C3A,51251
TLR7,TLR7,51284
PLAC8,PLAC8,51316
PHF21A,PHF21A,51317
MS4A4A,MS4A4A,51338
KLRF1,KLRF1,51348
EIF3L,EIF3L,51386
PDE3B,PDE3B,5140
PRKAG2,PRKAG2,51422
ANKFY1,ANKFY1,51479
PTPLAD1,HACD3,51495
ETV7,ETV7,51513
CXXC5,CXXC5,51523
C9orf156,TRMO,51531
ZCCHC17,ZCCHC17,51538
NUB1,NUB1,51667
CROP,LUC7L3,51747
PLAUR,PLAUR,5329
PLSCR1,PLSCR1,5359
PML,PML,5371
GPR84,GPR84,53831
RAB24,RAB24,53917
SEPT4,SEPT4,5414
GNG2,GNG2,54331
YIPF1,YIPF1,54432
RIN2,RIN2,54453
FAM134B,RETREG1,54463
XRN1,XRN1,54464
RNF216,RNF216,54476
CCDC76,TRMT13,54482
PARP14,PARP14,54625
LRRN3,LRRN3,54674
GTPBP2,GTPBP2,54676
ZNHIT6,ZNHIT6,54680
P4HTM,P4HTM,54681
PPAT,PPAT,5471
XAF1,XAF1,54739
GRAMD1C,GRAMD1C,54762
SAMD9,SAMD9,54809
BIVM,BIVM,54841
DNAJC25,DNAJC25,548645
ZCCHC2,ZCCHC2,54877
TTC19,TTC19,54902
SEMA4C,SEMA4C,54910
ADPRHL2,ADPRHL2,54936
ACSM5,ACSM5,54988
TMCO3,TMCO3,55002
HERC6,HERC6,55008
PPP1R2,PPP1R2,5504
ATG16L1,ATG16L1,55054
FEZF2,FEZF2,55079
WDR60,WDR60,55112
AKIRIN2,AKIRIN2,55122
LARP1B,LARP1B,55132
SRBD1,SRBD1,55133
RBM23,RBM23,55147
APPL2,APPL2,55198
PPP2R4,PTPA,5524
ELP2,ELP2,55250
PCMTD2,PCMTD2,55251
ECHDC2,ECHDC2,55268
TMEM140,TMEM140,55281
C19orf66,C19orf66,55337
SLC35E3,SLC35E3,55508
ENOSF1,ENOSF1,55556
NAGK,NAGK,55577
KIF27,KIF27,55582
DDX60,DDX60,55601
FAM46A,FAM46A,55603
FLVCR2,FLVCR2,55640
PKIA,PKIA,5569
NSUN5,NSUN5,55695
FAR2,FAR2,55711
CNDP2,CNDP2,55748
WDR12,WDR12,55759
H2AFJ,H2AFJ,55766
ZNF83,ZNF83,55769
PRR11,PRR11,55771
ADAP2,ADAP2,55803
PRKCE,PRKCE,5581
JMJD1A,KDM3A,55818
PECR,PECR,55825
PRKCH,PRKCH,5583
NCRNA00153,KIZ,55857
PRKCQ,PRKCQ,5588
WSB2,WSB2,55884
GOLGA6B,GOLGA6B,55889
ZNF302,ZNF302,55900
RNF114,RNF114,55905
EIF2AK2,EIF2AK2,5610
PRKRIR,THAP12,5612
KIAA1370,FAM214A,56204
PSG3,PSG3,5671
ZC3HAV1,ZC3HAV1,56829
C1GALT1,C1GALT1,56913
C11orf75,SMCO4,56935
PSMB8,PSMB8,5696
PSMB9,PSMB9,5698
PSMB10,PSMB10,5699
LYRM1,LYRM1,57149
ASPHD2,ASPHD2,57168
ZNFX1,ZNFX1,57169
KIAA1147,KIAA1147,57189
ATP8B2,ATP8B2,57198
PSME1,PSME1,5720
PSME2,PSME2,5721
PTGDR,PTGDR,5729
KIAA0114,DANCR,57291
PPM1H,PPM1H,57460
GRAMD1B,GRAMD1B,57476
FAM62B,ESYT2,57488
ZNF398,ZNF398,57541
WDFY1,WDFY1,57590
DIP2B,DIP2B,57609
ARHGAP23,ARHGAP23,57636
KIAA1618,RNF213,57674
RNF213,RNF213,57674
DENND1A,DENND1A,57706
ZNF529,ZNF529,57711
WDR19,WDR19,57728
GBA3,GBA3,57733
PTPN4,PTPN4,5775
HES4,HES4,57801
PURB,PURB,5814
SQRDL,SQOR,58472
CREBZF,CREBZF,58487
RALB,RALB,5899
ACTA2,ACTA2,59
RANGAP1,RANGAP1,5905
RARRES3,RARRES3,5920
RBBP4,RBBP4,5928
PLEKHA1,PLEKHA1,59338
GNB4,GNB4,59345
RBMS2,RBMS2,5939
BCKDHB,BCKDHB,594
RCN2,RCN2,5955
BCL2,BCL2,596
APOBEC3G,APOBEC3G,60489
C14orf93,C14orf93,60686
RNY1,RNY1,6084
RPGR,RPGR,6103
RPA1,RPA1,6117
RPA2,RPA2,6118
RPL4,RPL4,6124
RPL5,RPL5,6125
RPL6,RPL6,6128
RPL15,RPL15,6138
RPL17,RPL17,6139
RPL22,RPL22,6146
RPS3A,RPS3A,6189
RPS6,RPS6,6194
RPS27,RPS27,6232
RPS27A,RPS27A,6233
RRBP1,RRBP1,6238
SORT1,SORT1,6272
SAT1,SAT1,6303
CEACAM1,CEACAM1,634
CCL2,CCL2,6347
CCL8,CCL8,6355
FAM111A,FAM111A,63901
ELMO2,ELMO2,63916
SECTM1,SECTM1,6398
SELL,SELL,6402
RTP4,RTP4,64108
MOAP1,MOAP1,64112
IFIH1,IFIH1,64135
SNORD87,SNORD87,641648
DPEP2,DPEP2,64174
LEPRE1,P3H1,64175
DPEP3,DPEP3,64180
LOC641922,UNC93B2,641922
TFB2M,TFB2M,64216
LOC642357,EEF1GP5,642357
LOC642828,RPL6P10,642828
LOC643384,UNC93B4,643384
LOC643779,RPLP0P5,643779
LOC643873,EIF4BP7,643873
GMCL1,GMCL1,64395
FLJ32255,FLJ32255,643977
AKTIP,AKTIP,64400
SDHAF1,SDHAF1,644096
POLR1E,POLR1E,64425
MTE,MT1IP,644314
LOC644464,RPSAP61,644464
SGK1,SGK1,6446
SGK,SGK1,6446
LOC644604,EEF1A1P12,644604
LOC644937,RPL10P8,644937
LOC645173,RPS2P48,645173
LOC645296,RPL17P39,645296
LOC645693,EEF1A1P22,645693
LOC645715,EEF1A1P24,645715
AXUD1,CSRNP1,64651
LOC646527,RPS3AP44,646527
LOC646672,RPL15P20,646672
LOC646688,RPL4P2,646688
LOC646784,RPL5P6,646784
GORASP1,GORASP1,64689
LOC647030,EEF1B2P6,647030
LOC647135,SRGAP2B,647135
SRGAP2L,SRGAP2B,647135
LOC647276,RPL4P4,647276
LOC647436,RPL5P1,647436
PARP12,PARP12,64761
SIAH1,SIAH1,6477
CCDC14,CCDC14,64770
CERK,CERK,64781
BMI1,BMI1,648
ST3GAL2,ST3GAL2,6483
BCL11B,BCL11B,64919
MRPL44,MRPL44,65080
NADK,NADK,65220
LOC652904,CKS1BP6,652904
LOC653162,RPSAP9,653162
FAM115B,TCAF1P1,653199
LOC653232,RPL15P3,653232
KIAA0895L,KIAA0895L,653319
NCF1,NCF1,653361
LOC653658,RPS23P8,653658
LOC653689,GSTT2B,653689
SLC6A12,SLC6A12,6539
SLC6A13,SLC6A13,6540
LOC654350,RPL9P25,654350
NCF1B,NCF1B,654816
NCF1C,NCF1C,654817
SLC12A2,SLC12A2,6558
HLTF,HLTF,6596
SIGLEC1,SIGLEC1,6614
SNTB1,SNTB1,6641
SP4,SP4,6671
SP100,SP100,6672
TRIM21,TRIM21,6737
BRCA2,BRCA2,675
STAT1,STAT1,6772
STAT2,STAT2,6773
STAT4,STAT4,6775
SNORA43,SNORA17B,677824
BST2,BST2,684
TAF4,TAF4,6874
KLF5,KLF5,688
TAP1,TAP1,6890
TAP2,TAP2,6891
TAPBP,TAPBP,6892
TCEA3,TCEA3,6920
TCN2,TCN2,6948
DYNLT1,DYNLT1,6993
SERPING1,SERPING1,710
C1QB,C1QB,713
TNFAIP6,TNFAIP6,7130
TOP1,TOP1,7150
TOP1P1,TOP1P1,7151
TOP2B,TOP2B,7155
C2,C2,717
HIST2H2AA4,HIST2H2AA4,723790
C5,C5,727
LOC728126,RPSAP30,728126
LOC728590,RPS27AP11,728590
LOC728658,RPL13AP5,728658
LOC728661,SLC35E2B,728661
LOC729196,UNC93B5,729196
LOC729342,NPM1P46,729342
TXK,TXK,7294
LOC729679,RPS2P51,729679
LOC729686,NPM1P42,729686
LOC729839,LOC729839,729839
LOC730029,RPSAP19,730029
LOC730861,RPS3AP29,730861
UBA7,UBA7,7318
UBE2G2,UBE2G2,7327
WARS,WARS,7453
ZAP70,ZAP70,7535
ZNF74,ZNF74,7625
ZNF84,ZNF84,7637
TRIM26,TRIM26,7726
CACNA1A,CACNA1A,773
ZMYM2,ZMYM2,7750
ZNF200,ZNF200,7752
CACNA1E,CACNA1E,777
PTP4A1,PTP4A1,7803
RNF103,RNF103,7844
SLBP,SLBP,7884
PDCL3,PDCL3,79031
PVRIG,PVRIG,79037
DHX58,DHX58,79132
GNPTAB,GNPTAB,79158
C7orf23,TMEM243,79161
KREMEN2,KREMEN2,79412
TTC13,TTC13,79573
CARS2,CARS2,79587
NARG1L,NAA16,79612
RHBDF2,RHBDF2,79651
TMEM204,TMEM204,79652
C16orf30,TMEM204,79652
BEND5,BEND5,79656
GSDMD,GSDMD,79792
GGNBP2,GGNBP2,79893
FLJ14213,PRR5L,79899
KIAA0319L,KIAA0319L,79932
TTC26,TTC26,79989
TMEM62,TMEM62,80021
PANK2,PANK2,80025
CXorf21,CXorf21,80231
TRAF3IP3,TRAF3IP3,80342
PBX4,PBX4,80714
KIAA1712,CEP44,80817
APOL6,APOL6,80830
ZBP1,ZBP1,81030
UNC93B1,UNC93B1,81622
CAMK2G,CAMK2G,818
TRIM56,TRIM56,81844
SLC25A28,SLC25A28,81894
HIST2H2AA3,HIST2H2AA3,8337
HIST2H2AC,HIST2H2AC,8338
HIST2H2BE,HIST2H2BE,8349
HIST1H3D,HIST1H3D,8351
HIST1H4H,HIST1H4H,8365
PARP9,PARP9,83666
RBM4B,RBM4B,83759
CASP5,CASP5,838
FGFBP2,FGFBP2,83888
ACAD11,ACAD11,84129
CEP78,CEP78,84131
RPAIN,RPAIN,84268
C4orf14,NOA1,84273
STK24,STK24,8428
MRPL45,MRPL45,84311
BRSK1,BRSK1,84446
HOPX,HOPX,84525
CUL1,CUL1,8454
NTNG2,NTNG2,84628
OGT,OGT,8473
PARP10,PARP10,84875
PLXDC2,PLXDC2,84898
MASTL,MASTL,84930
HSH2D,HSH2D,84941
SNHG7,SNHG7,84973
RBM17,RBM17,84991
ITGA10,ITGA10,8515
IFITM1,IFITM1,8519
TRIM5,TRIM5,85363
APOL1,APOL1,8542
PRIC285,HELZ2,85441
ITPRIP,ITPRIP,85450
RUNX2,RUNX2,860
SKAP1,SKAP1,8631
OASL,OASL,8638
SOCS1,SOCS1,8651
IRS2,IRS2,8660
EIF4G3,EIF4G3,8672
STX11,STX11,8676
PNPT1,PNPT1,87178
TNFRSF25,TNFRSF25,8718
MBTPS1,MBTPS1,8720
TNFSF10,TNFSF10,8743
RIPK2,RIPK2,8767
NAPA,NAPA,8775
HESX1,HESX1,8820
SOCS2,SOCS2,8835
ST3GAL5,ST3GAL5,8869
NAE1,NAE1,8883
HERC1,HERC1,8925
ZNF30,ZNF30,90075
SOCS3,SOCS3,9021
PSTPIP2,PSTPIP2,9050
SLC7A6,SLC7A6,9057
ZNF439,ZNF439,90594
FAM104B,FAM104B,90736
C9orf123,TMEM261,90871
CD1C,CD1C,911
SLC16A3,SLC16A3,9123
DDX60L,DDX60L,91351
CD2,CD2,914
CD3D,CD3D,915
RSAD2,RSAD2,91543
LOC91561,RPS2P40,91561
NEXN,NEXN,91624
C22orf32,SMDT1,91689
CD247,CD247,919
MGC15763,OXNAD1,92106
FAIM3,FCMR,9214
ACPL2,PXYLP1,92370
UBE2L6,UBE2L6,9246
HNRPLL,HNRNPLL,92906
CCDC102A,CCDC102A,92922
B4GALT5,B4GALT5,9334
SP140L,SP140L,93349
LOC93622,LOC93622,93622
OTOF,OTOF,9381
CD27,CD27,939
STOML1,STOML1,9399
ORMDL1,ORMDL1,94101
EPSTI1,EPSTI1,94240
TP53INP1,TP53INP1,94241
AIM2,AIM2,9447
ITM2A,ITM2A,9452
C1orf38,THEMIS2,9473
SLC4A7,SLC4A7,9497
SCARB2,SCARB2,950
SPTLC2,SPTLC2,9517
CD38,CD38,952
GTPBP1,GTPBP1,9567
MAD2L1BP,MAD2L1BP,9587
CD40LG,CD40LG,959
IER2,IER2,9592
C16orf7,VPS9D1,9605
ISG15,ISG15,9636
LPIN2,LPIN2,9663
KIAA0040,KIAA0040,9674
PHF14,PHF14,9678
CD68,CD68,968
N4BP1,N4BP1,9683
ACYP1,ACYP1,97
KIAA0226,RUBCN,9711
CD74,CD74,972
PHACTR2,PHACTR2,9749
TOMM20,TOMM20,9804
SPOCK2,SPOCK2,9806
SFI1,SFI1,9814
TRIM14,TRIM14,9830
SEC24D,SEC24D,9871
LBA1,TRANK1,9881
TBC1D4,TBC1D4,9882
P2RY14,P2RY14,9934
MAFB,MAFB,9935
ARHGAP25,ARHGAP25,9938
MVP,MVP,9961
SCO2,SCO2,9997
Hs.537742,NA,NA
Hs.537991,NA,NA
Hs.538367,NA,NA
Hs.554324,NA,NA
Hs.563552,NA,NA
Hs.566482,NA,NA
Hs.569566,NA,NA
Hs.72010,NA,NA
LOC728772,NA,NA
LOC100132804,NA,NA
LOC100133045,NA,NA
LOC100133923,NA,NA
LOC100133931,NA,NA
LOC100134234,NA,NA
LOC100134504,NA,NA
LOC730167,NA,NA
LOC730631,NA,NA
LOC730704,NA,NA
LOC730754,NA,NA
LOC647856,NA,NA
LOC731049,NA,NA
LOC284701,NA,NA
LOC649049,NA,NA
LOC642250,NA,NA
LOC649150,NA,NA
LOC642660,NA,NA
LOC387825,NA,NA
LOC642808,NA,NA
LOC387930,NA,NA
LOC652699,NA,NA
Hs.224794,NA,NA
Hs.254477,NA,NA
Hs.276860,NA,NA
LOC644039,NA,NA
LOC388720,NA,NA
Hs.371609,NA,NA
Hs.386275,NA,NA
LOC100129158,NA,NA
LOC100129334,NA,NA
LOC728031,NA,NA
Hs.526948,NA,NA
LOC645378,NA,NA
LOC100129681,NA,NA
Hs.529633,NA,NA
Hs.20255,NA,NA
LOC400304,NA,NA
LOC400455,NA,NA
LOC100132516,NA,NA
LOC728744,NA,NA
LOC401676,NA,NA
LOC402251,NA,NA
Hs.125087,NA,NA
LOC647074,NA,NA
LOC642780,NA,NA
LOC652287,NA,NA
LOC440731,NA,NA
Hs.194225,NA,NA
LOC441506,NA,NA
LOC441019,NA,NA
LOC100130828,NA,NA
LOC651198,NA,NA
LOC732371,NA,NA
LOC649076,NA,NA
LOC646793,NA,NA
LOC728216,NA,NA
LOC728014,NA,NA
Hs.520349,NA,NA
LOC652616,NA,NA
LOC653496,NA,NA
LOC644363,NA,NA
Hs.306876,NA,NA
LOC647766,NA,NA
LOC100129668,NA,NA
Hs.485155,NA,NA
Hs.126768,NA,NA
Hs.294603,NA,NA
LOC653610,NA,NA
Hs.157344,NA,NA
LOC648249,NA,NA
LOC651816,NA,NA
LOC728672,NA,NA
